variant,threads,trials,mean_seconds,sample_stddev_seconds
creation_join,1,3,0.0005653666667058133,4.5059109292686626e-05
cpu_work,1,1,0.016121600000133185,
creation_join,2,3,0.00042143333333418315,1.095460322458222e-05
cpu_work,2,1,0.013204200000018318,
creation_join,4,3,0.0008911666666335805,0.00014542401213264334
cpu_work,4,1,0.01468420000014703,
creation_join,8,3,0.0013899999999769836,0.0003707046938259405
cpu_work,8,1,0.024252700000033656,
creation_join,16,3,0.0026040333333791446,0.0008470122568979036
cpu_work,16,1,0.03669090000016695,
creation_join,32,3,0.006404633333280192,0.0007420060263842662
cpu_work,32,1,0.06816649999996116,
creation_join,64,3,0.014262966666668339,0.00039335394143681814
cpu_work,64,1,0.12306909999983873,
