experiment,variant,threads,run1_cold_seconds,run2_seconds,run3_seconds,average_seconds,empirical_speedup,theoretical_speedup,reality_gap,iterations_per_second
sequential,sequential,1,2.039000034,1.989000082,1.983999968,1.986500025,1.0,,,6672036.1606841665
scaling,reduction,1,2.802999973,2.81400013,2.799999952,2.8070000410000002,0.7076950466635208,1.0,0.2923049533364792,4721766.94207608
scaling,reduction,2,1.481999874,1.490999937,1.486999989,1.488999963,1.3341169068920924,1.3341169068920924,0.0,8901276.245364152
scaling,reduction,4,0.790999889,0.796000004,0.773000002,0.784500003,2.5321861279839917,1.6016933149890307,-0.930492812994961,16894837.411492016
scaling,reduction,8,0.443000078,0.414000034,0.445999861,0.42999994750000003,4.619768064041449,1.7802174738641503,-2.839550590177299,30823259.577258434
scaling,reduction,14,0.296000004,0.279999971,0.288000107,0.28400003900000004,6.99471743734514,1.8695215588421759,-5.125195878502964,46669007.675734855
scaling,reduction,16,0.26699996,0.26699996,0.25999999,0.263499975,7.538900240882376,1.8852840116563647,-5.653616229226012,50299815.01895778
scaling,reduction,20,0.226000071,0.240999937,0.259000063,0.25,7.9460001,1.9078033152884972,-6.038196784711503,53016000.0
false_sharing,naive,14,0.334000111,0.325999975,0.335000038,0.3305000065,6.010589972560258,,,40102873.64396769
false_sharing,reduction,14,0.277999878,0.286999941,0.279000044,0.28299999249999996,7.019434903341915,,,46833923.502665825
scheduling,static,20,0.235000134,0.232999802,0.220999956,0.22699987900000002,8.751106096404571,,,58387696.321194954
scheduling,static_1000,20,0.240999937,0.229000092,0.250999928,0.24000000999999999,8.277083092621538,,,55224997.698958434
scheduling,dynamic_100,20,0.202000141,0.196999788,0.200000048,0.198499918,10.007560935113334,,,66770808.439326406
scheduling,dynamic_10000,20,0.19900012,0.200000048,0.198999882,0.199499965,9.957395355934022,,,66436101.88102038
scheduling,guided,20,0.21600008,0.195999861,0.210999966,0.20349991350000002,9.761675033832384,,,65130248.8145775
