capacity,passes,trials,mean_seconds,sample_stddev_seconds
1,1,1,0.05705689999990682,
1,4,1,0.13232139999990977,
1,16,1,0.48899919999985286,
4,1,1,0.06298420000007354,
4,4,1,0.14166580000005524,
4,16,1,0.42948850000016137,
16,1,1,0.061993400000119436,
16,4,1,0.1502715999999964,
16,16,1,0.5534410999998727,
