capacity,passes,packets,frame_size,seconds,packets_per_second,mean_latency_seconds,producer_service_seconds,compute_service_seconds,consumer_service_seconds,busiest_service_stage
1,1,48,512,0.05705689999990682,841.2654735900196,0.0037855125000258263,0.02278590000037184,0.0517730999995365,0.019048599999678117,compute
1,4,48,512,0.13232139999990977,362.7531147647526,0.00840691875001672,0.02191160000029413,0.12703530000044339,0.0182385000002796,compute
1,16,48,512,0.48899919999985286,98.15966979090035,0.03035883125000301,0.02548949999936667,0.482772800000248,0.024380599999858532,compute
4,1,48,512,0.06298420000007354,762.0958907145595,0.007645352083320252,0.023121799999444193,0.0570033999995303,0.022052100000792052,compute
4,4,48,512,0.14166580000005524,338.8256022270815,0.017035427083323878,0.02343699999960336,0.13602909999985968,0.02055509999900096,compute
4,16,48,512,0.42948850000016137,111.76085040689557,0.05103127500001392,0.022839600000452265,0.42364080000015747,0.0193697000006523,compute
16,1,48,512,0.061993400000119436,774.2759713115836,0.017591377083339427,0.02429040000038185,0.05473699999902237,0.01778720000083922,compute
16,4,48,512,0.1502715999999964,319.42163389490196,0.04573230625001656,0.024152300000423566,0.14404059999947094,0.016709299999774885,compute
16,16,48,512,0.5534410999998727,86.73009648183165,0.17064121458332218,0.026221500000929154,0.5451564999996208,0.01836809999963407,compute
