policy,threads,chunk,trial,rank,rows,escape_iterations
guided,8,1,3,0,166,4932573
guided,8,1,3,1,79,52730717
guided,8,1,3,2,322,2043268
guided,8,1,3,3,61,32622015
guided,8,1,3,4,104,4554801
guided,8,1,3,5,91,33246295
guided,8,1,3,6,69,53043797
guided,8,1,3,7,188,19943413
guided,8,16,1,0,166,4932573
guided,8,16,1,1,91,33246295
guided,8,16,1,2,104,4554801
guided,8,16,1,3,53,19567376
guided,8,16,1,4,79,52730717
guided,8,16,1,5,69,53043797
guided,8,16,1,6,61,32622015
guided,8,16,1,7,457,2419305
guided,8,16,2,0,172,20027600
guided,8,16,2,1,104,4554801
guided,8,16,2,2,79,52730717
guided,8,16,2,3,47,4472349
guided,8,16,2,4,91,33246295
guided,8,16,2,5,322,2043268
guided,8,16,2,6,61,32622015
guided,8,16,2,7,204,53419834
guided,8,16,3,0,61,32622015
guided,8,16,3,1,166,4932573
guided,8,16,3,2,53,19567376
guided,8,16,3,3,104,4554801
guided,8,16,3,4,91,33246295
guided,8,16,3,5,69,53043797
guided,8,16,3,6,79,52730717
guided,8,16,3,7,457,2419305
guided,8,64,1,0,69,53043797
guided,8,64,1,1,79,52730717
guided,8,64,1,2,64,19480868
guided,8,64,1,3,104,4554801
guided,8,64,1,4,91,33246295
guided,8,64,1,5,64,33991663
guided,8,64,1,6,410,1535244
guided,8,64,1,7,199,4533494
guided,8,64,2,0,69,53043797
guided,8,64,2,1,64,19480868
guided,8,64,2,2,64,33991663
guided,8,64,2,3,410,1535244
guided,8,64,2,4,91,33246295
guided,8,64,2,5,79,52730717
guided,8,64,2,6,104,4554801
guided,8,64,2,7,199,4533494
guided,8,64,3,0,64,33991663
guided,8,64,3,1,64,4157457
guided,8,64,3,2,91,33246295
guided,8,64,3,3,183,19941092
guided,8,64,3,4,104,4554801
guided,8,64,3,5,79,52730717
guided,8,64,3,6,69,53043797
guided,8,64,3,7,426,1451057
guided,8,256,1,0,256,78230988
guided,8,256,1,1,256,122585384
guided,8,256,1,2,0,0
guided,8,256,1,3,56,140054
guided,8,256,1,4,0,0
guided,8,256,1,5,256,1313697
guided,8,256,1,6,0,0
guided,8,256,1,7,256,846756
guided,8,256,2,0,256,122585384
guided,8,256,2,1,256,78230988
guided,8,256,2,2,0,0
guided,8,256,2,3,56,140054
guided,8,256,2,4,256,1313697
guided,8,256,2,5,0,0
guided,8,256,2,6,0,0
guided,8,256,2,7,256,846756
guided,8,256,3,0,256,78230988
guided,8,256,3,1,256,122585384
guided,8,256,3,2,256,1313697
guided,8,256,3,3,56,140054
guided,8,256,3,4,0,0
guided,8,256,3,5,0,0
guided,8,256,3,6,0,0
guided,8,256,3,7,256,846756
guided,16,1,1,0,101,22375526
guided,16,1,1,1,21,1642283
guided,16,1,1,2,46,9797031
guided,16,1,1,3,92,29111860
guided,16,1,1,4,80,12712434
guided,16,1,1,5,49,3479328
guided,16,1,1,6,31,19955444
guided,16,1,1,7,107,18902169
guided,16,1,1,8,162,641734
guided,16,1,1,9,150,812017
guided,16,1,1,10,23,2215837
guided,16,1,1,11,24,3944757
guided,16,1,1,12,29,14760453
guided,16,1,1,13,38,27584950
guided,16,1,1,14,33,24956416
guided,16,1,1,15,94,10224640
guided,16,1,2,0,87,2409415
guided,16,1,2,1,98,27784009
guided,16,1,2,2,49,3479328
guided,16,1,2,3,85,15000358
guided,16,1,2,4,28,12385488
guided,16,1,2,5,24,3944757
guided,16,1,2,6,197,1117612
guided,16,1,2,7,41,22176467
guided,16,1,2,8,46,9797031
guided,16,1,2,9,167,663085
guided,16,1,2,10,33,24956416
guided,16,1,2,11,36,28871955
guided,16,1,2,12,26,10051724
guided,16,1,2,13,31,19955444
guided,16,1,2,14,21,1642283
guided,16,1,2,15,111,18881507
guided,16,1,3,0,101,22375526
guided,16,1,3,1,88,4138335
guided,16,1,3,2,89,25196321
guided,16,1,3,3,265,1176002
guided,16,1,3,4,43,18708591
guided,16,1,3,5,49,3479328
guided,16,1,3,6,23,2215837
guided,16,1,3,7,36,28871955
guided,16,1,3,8,38,27584950
guided,16,1,3,9,99,604695
guided,16,1,3,10,21,1642283
guided,16,1,3,11,31,19955444
guided,16,1,3,12,29,14760453
guided,16,1,3,13,28,12385488
guided,16,1,3,14,26,10051724
guided,16,1,3,15,114,9969947
guided,16,16,1,0,253,998937
guided,16,16,1,1,100,29065533
guided,16,16,1,2,175,893778
guided,16,16,1,3,75,2542783
guided,16,16,1,4,31,19955444
guided,16,16,1,5,49,3479328
guided,16,16,1,6,46,9797031
guided,16,16,1,7,41,22176467
guided,16,16,1,8,43,18708591
guided,16,16,1,9,38,27584950
guided,16,16,1,10,21,1642283
guided,16,16,1,11,33,24956416
guided,16,16,1,12,26,10051724
guided,16,16,1,13,29,14760453
guided,16,16,1,14,28,12385488
guided,16,16,1,15,92,4117673
guided,16,16,2,0,23,2215837
guided,16,16,2,1,38,27584950
guided,16,16,2,2,82,10291629
guided,16,16,2,3,29,14760453
guided,16,16,2,4,21,1642283
guided,16,16,2,5,76,4271703
guided,16,16,2,6,28,12385488
guided,16,16,2,7,49,3479328
guided,16,16,2,8,43,18708591
guided,16,16,2,9,46,9797031
guided,16,16,2,10,96,29071014
guided,16,16,2,11,105,22370045
guided,16,16,2,12,33,24956416
guided,16,16,2,13,31,19955444
guided,16,16,2,14,148,628879
guided,16,16,2,15,232,997788
guided,16,16,3,0,81,1841342
guided,16,16,3,1,87,20195349
guided,16,16,3,2,217,999975
guided,16,16,3,3,43,18708591
guided,16,16,3,4,49,3479328
guided,16,16,3,5,41,22176467
guided,16,16,3,6,29,14760453
guided,16,16,3,7,38,27584950
guided,16,16,3,8,46,9797031
guided,16,16,3,9,26,10051724
guided,16,16,3,10,147,780722
guided,16,16,3,11,87,2409415
guided,16,16,3,12,28,12385488
guided,16,16,3,13,36,28871955
guided,16,16,3,14,33,24956416
guided,16,16,3,15,92,4117673
guided,16,64,1,0,64,9489238
guided,16,64,1,1,64,188404
guided,16,64,1,2,64,38197160
guided,16,64,1,3,52,129012
guided,16,64,1,4,64,28608897
guided,16,64,1,5,64,287906
guided,16,64,1,6,64,207278
guided,16,64,1,7,64,5803096
guided,16,64,1,8,64,1266603
guided,16,64,1,9,128,50358654
guided,16,64,1,10,64,263701
guided,16,64,1,11,64,551481
guided,16,64,1,12,0,0
guided,16,64,1,13,0,0
guided,16,64,1,14,128,25707132
guided,16,64,1,15,132,42058317
guided,16,64,2,0,64,28608897
guided,16,64,2,1,64,207278
guided,16,64,2,2,64,50165076
guided,16,64,2,3,128,839387
guided,16,64,2,4,64,9489238
guided,16,64,2,5,64,1266603
guided,16,64,2,6,64,193578
guided,16,64,2,7,64,263701
guided,16,64,2,8,64,25493083
guided,16,64,2,9,64,5803096
guided,16,64,2,10,0,0
guided,16,64,2,11,0,0
guided,16,64,2,12,116,317416
guided,16,64,2,13,64,214049
guided,16,64,2,14,64,38197160
guided,16,64,2,15,132,42058317
guided,16,64,3,0,128,28802475
guided,16,64,3,1,128,42099450
guided,16,64,3,2,128,38485066
guided,16,64,3,3,64,9489238
guided,16,64,3,4,64,50165076
guided,16,64,3,5,64,1266603
guided,16,64,3,6,64,5803096
guided,16,64,3,7,64,25493083
guided,16,64,3,8,0,0
guided,16,64,3,9,0,0
guided,16,64,3,10,64,551481
guided,16,64,3,11,0,0
guided,16,64,3,12,192,659383
guided,16,64,3,13,52,129012
guided,16,64,3,14,0,0
guided,16,64,3,15,68,172916
guided,16,256,1,0,256,78230988
guided,16,256,1,1,256,1313697
guided,16,256,1,2,256,122585384
guided,16,256,1,3,0,0
guided,16,256,1,4,56,140054
guided,16,256,1,5,0,0
guided,16,256,1,6,0,0
guided,16,256,1,7,0,0
guided,16,256,1,8,0,0
guided,16,256,1,9,0,0
guided,16,256,1,10,0,0
guided,16,256,1,11,0,0
guided,16,256,1,12,0,0
guided,16,256,1,13,0,0
guided,16,256,1,14,0,0
guided,16,256,1,15,256,846756
guided,16,256,2,0,256,1313697
guided,16,256,2,1,256,78230988
guided,16,256,2,2,56,140054
guided,16,256,2,3,256,122585384
guided,16,256,2,4,0,0
guided,16,256,2,5,0,0
guided,16,256,2,6,0,0
guided,16,256,2,7,0,0
guided,16,256,2,8,0,0
guided,16,256,2,9,0,0
guided,16,256,2,10,0,0
guided,16,256,2,11,0,0
guided,16,256,2,12,0,0
guided,16,256,2,13,0,0
guided,16,256,2,14,0,0
guided,16,256,2,15,256,846756
guided,16,256,3,0,256,78230988
guided,16,256,3,1,256,122585384
guided,16,256,3,2,256,1313697
guided,16,256,3,3,0,0
guided,16,256,3,4,56,140054
guided,16,256,3,5,0,0
guided,16,256,3,6,0,0
guided,16,256,3,7,0,0
guided,16,256,3,8,0,0
guided,16,256,3,9,0,0
guided,16,256,3,10,0,0
guided,16,256,3,11,0,0
guided,16,256,3,12,0,0
guided,16,256,3,13,0,0
guided,16,256,3,14,0,0
guided,16,256,3,15,256,846756
