variant,threads,n,trial,seconds,pi,absolute_error
serial_native,1,100000000,1,0.17423359999997956,3.1415926535904264,6.332712132461893e-13
serial_native,1,100000000,2,0.1807163999999375,3.1415926535904264,6.332712132461893e-13
serial_native,1,100000000,3,0.1748425999999199,3.1415926535904264,6.332712132461893e-13
serial_native,1,100000000,4,0.17274529999986044,3.1415926535904264,6.332712132461893e-13
serial_native,1,100000000,5,0.18027830000005451,3.1415926535904264,6.332712132461893e-13
race,1,100000000,1,0.19606960000010076,3.1415926535904264,6.332712132461893e-13
race,1,100000000,2,0.19521180000015192,3.1415926535904264,6.332712132461893e-13
race,1,100000000,3,0.19914969999990717,3.1415926535904264,6.332712132461893e-13
race,1,100000000,4,0.1930519000000004,3.1415926535904264,6.332712132461893e-13
race,1,100000000,5,0.19244350000008126,3.1415926535904264,6.332712132461893e-13
race,2,100000000,1,0.11219630000005054,1.3413399583554237,1.8002526952343694
race,2,100000000,2,0.11429720000000998,1.5155257537116256,1.6260668998781675
race,2,100000000,3,0.11551379999991696,1.58772019484805,1.5538724587417432
race,2,100000000,4,0.11171469999999317,1.2954655262873715,1.8461271273024216
race,2,100000000,5,0.11210870000013529,1.8555297105157513,1.2860629430740418
race,4,100000000,1,0.05576009999981579,0.8233308674374279,2.318261786152365
race,4,100000000,2,0.055114000000003216,0.8581970437201316,2.2833956098696615
race,4,100000000,3,0.05519090000007054,0.8222680142928183,2.319324639296975
race,4,100000000,4,0.05477240000004713,0.8733412981445244,2.2682513554452686
race,4,100000000,5,0.05488130000003366,0.8326181789754639,2.3089744746143293
race,8,100000000,1,0.04663370000002942,0.5783615762420443,2.5632310773477487
race,8,100000000,2,0.04634479999981522,0.7187237628958973,2.4228688906938958
race,8,100000000,3,0.047806899999841335,0.6389199082399646,2.5026727453498285
race,8,100000000,4,0.04750189999981558,0.5215135232730492,2.6200791303167437
race,8,100000000,5,0.04710009999985232,0.6491929424166849,2.492399711173108
serial_python,1,1000000,1,0.059829600000057326,3.1415926535897643,2.886579864025407e-14
serial_python,1,1000000,2,0.05778310000005149,3.1415926535897643,2.886579864025407e-14
serial_python,1,1000000,3,0.05837629999996352,3.1415926535897643,2.886579864025407e-14
serial_python,1,1000000,4,0.058239499999899635,3.1415926535897643,2.886579864025407e-14
serial_python,1,1000000,5,0.05827709999994113,3.1415926535897643,2.886579864025407e-14
serial_native_lock_n,1,1000000,1,0.001713400000198817,3.1415926535897643,2.886579864025407e-14
serial_native_lock_n,1,1000000,2,0.0017291999999997643,3.1415926535897643,2.886579864025407e-14
serial_native_lock_n,1,1000000,3,0.001702000000022963,3.1415926535897643,2.886579864025407e-14
serial_native_lock_n,1,1000000,4,0.0016780999999355117,3.1415926535897643,2.886579864025407e-14
serial_native_lock_n,1,1000000,5,0.0017405999999482447,3.1415926535897643,2.886579864025407e-14
critical_python,1,1000000,1,0.16724950000002536,3.1415926535897643,2.886579864025407e-14
critical_python,1,1000000,2,0.16909110000005967,3.1415926535897643,2.886579864025407e-14
critical_python,1,1000000,3,0.16807619999985945,3.1415926535897643,2.886579864025407e-14
critical_python,1,1000000,4,0.17302109999991444,3.1415926535897643,2.886579864025407e-14
critical_python,1,1000000,5,0.17837949999989178,3.1415926535897643,2.886579864025407e-14
critical_python,2,1000000,1,0.18048270000008415,3.141592653589836,4.3076653355456074e-14
critical_python,2,1000000,2,0.17229169999995975,3.1415926535898455,5.240252676230739e-14
critical_python,2,1000000,3,0.17253240000013648,3.141592653589863,6.972200594645983e-14
critical_python,2,1000000,4,0.1730125000001408,3.1415926535898375,4.440892098500626e-14
critical_python,2,1000000,5,0.1734722999999576,3.1415926535899175,1.2434497875801753e-13
critical_python,4,1000000,1,0.171237900000051,3.141592653589913,1.199040866595169e-13
critical_python,4,1000000,2,0.16897799999992458,3.1415926535898397,4.6629367034256575e-14
critical_python,4,1000000,3,0.16812989999993988,3.1415926535898997,1.0658141036401503e-13
critical_python,4,1000000,4,0.1682135000000926,3.1415926535898206,2.7533531010703882e-14
critical_python,4,1000000,5,0.16902390000018386,3.1415926535899006,1.0746958878371515e-13
critical_python,8,1000000,1,0.16992899999991096,3.141592653589847,5.3734794391857577e-14
critical_python,8,1000000,2,0.17685899999992216,3.141592653589815,2.1760371282653068e-14
critical_python,8,1000000,3,0.17596820000017033,3.1415926535898056,1.2434497875801753e-14
critical_python,8,1000000,4,0.1704400999999507,3.141592653589985,1.9184653865522705e-13
critical_python,8,1000000,5,0.16957609999985834,3.1415926535899636,1.7053025658242404e-13
reduction,1,100000000,1,0.168312700000115,3.1415926535904264,6.332712132461893e-13
